Epoch,Train/Batch Time,Train/Data Time,Train/Forward Pass Time,Train/Backward Pass Time,Train/Cross Entropy Loss,Train/Skip Loss,Train/Net Loss,Train/NFE,Train/Accuracy,Train/Residual,Test/Batch Time,Test/Data Time,Test/Cross Entropy Loss,Test/Skip Loss,Test/Net Loss,Test/NFE,Test/Accuracy,Test/Residual
1,0.23465876235961913,0.011812403259277343,0.10322106216430664,0.08547455383300781,1.5307410888290405,0.05474422077298165,1.585485311012268,10.0,43.844,13.777662185401917,0.1382306510925293,0.0010095737457275391,1.2792270610809326,0.02043097201883793,1.2996580310821533,10.0,54.81,1.6483618070602417
2,0.11517646995544434,0.0009214244842529296,0.030422078018188477,0.04314480117797852,1.167585329208374,0.019576744031310083,1.1871620740890503,10.0,58.482,3.31914830493927,0.0508846981048584,0.0008709556579589844,1.0729519317626952,0.014653866943717004,1.0876058002471924,10.0,62.66,3.100566522216797
3,0.07700527221679687,0.0004007555389404297,0.030261827392578124,0.04329433059692383,0.9957576835632325,0.01598632338196039,1.0117440069198609,10.0,64.822,3.7810650707244875,0.05104385147094727,0.001067298126220703,0.9571043894767761,0.01252076203674078,0.9696251536369324,10.0,65.65,2.6509358173370363
4,0.06921286277770997,0.0011877996063232423,0.04095183326721191,0.023718032989501953,0.9116369162750244,0.011694548594653607,0.9233314638137817,7.0,67.82,69.54383788574219,0.25256969985961913,0.0015196651458740235,0.8820199410438537,0.009202289909124374,0.8912222313880921,7.0,68.63,52.75116864929199
5,0.06453540336608887,0.0007041020965576172,0.03778469123840332,0.022967324600219725,0.8277636308288574,0.009942486186027527,0.8377061172866821,7.0,70.94,59.67474252258301,0.05404923210144043,0.0006405971527099609,0.8516229397773742,0.00856977706849575,0.8601927154541016,7.0,69.87,46.92678947448731
6,0.06483812911987305,0.0006876304626464843,0.03796173805236817,0.02311370361328125,0.7657409791183472,0.009275149982273578,0.7750161293792724,7.0,73.236,54.95400560302734,0.05471343612670899,0.000437542724609375,0.8027494853973388,0.007985988983511924,0.8107354738235474,7.0,71.97,43.47976148071289
7,0.06424815254211426,0.00041039871215820315,0.037886372146606444,0.02289460968017578,0.7147501941680908,0.008821050722002984,0.7235712452697753,7.0,75.134,51.289036198120115,0.05486092796325684,0.0006372001647949218,0.7761591840744019,0.00761655431613326,0.7837757403373719,7.0,73.11,39.72454325561523
8,0.06473479187011719,0.0009473526000976563,0.03770440269470215,0.023023773651123045,0.6702439609146118,0.008658879218101502,0.6789028401947022,7.0,76.786,49.59435690490723,0.05554373512268066,0.0009460414886474609,0.7465866600990295,0.007665530411154032,0.7542521934986115,7.0,74.11,39.1673890625
9,0.06447219535827636,0.0006834651947021485,0.03775683448791504,0.022988769912719725,0.6302243385124207,0.008378457053899765,0.6386027954864502,7.0,78.202,47.270915098876955,0.05478774299621582,0.0006424812316894531,0.7176767568588257,0.006965896169096232,0.7246426521778107,7.0,75.06,36.82680756835938
10,0.06452134231567383,0.0006919832611083984,0.03776200614929199,0.02302277786254883,0.59550656665802,0.008135160920619965,0.6036417268371582,7.0,79.284,46.019356455078125,0.054806411361694334,0.0006730175018310547,0.7100540952205658,0.00682923803254962,0.7168833305358887,7.0,75.18,35.16616417846679
11,0.06457474418640137,0.0009365728759765625,0.037746549224853515,0.022853344497680665,0.5630963961791993,0.007905507697165012,0.5710019044113159,7.0,80.602,44.604717044067385,0.05464286994934082,0.0006539344787597657,0.6985015622138977,0.006474304293096066,0.7049758656024933,7.0,76.0,33.64788522949219
12,0.06472849388122559,0.0006814665985107422,0.037895654830932615,0.023098196029663086,0.5340940768146515,0.007693171906322241,0.5417872491168976,7.0,81.62,43.27932700073242,0.0558302806854248,0.00042174644470214845,0.700430611038208,0.006753440833091736,0.707184052991867,7.0,76.09,34.40394981689453
13,0.06411041664123535,0.0003957524871826172,0.03789335830688476,0.0227873193359375,0.5064230952739716,0.0075822422507405285,0.5140053377628326,7.0,82.586,42.789530235595706,0.055375906372070315,0.0004497570037841797,0.6944154575347901,0.0064168787956237795,0.7008323390483856,7.0,76.16,32.06587012329101
14,0.06410519805908203,0.0004176256561279297,0.037667675018310545,0.022979014968872072,0.48170329376220705,0.007470436721593142,0.4891737302207947,7.0,83.656,42.03331479797363,0.054004368209838866,0.0004189155578613281,0.6932586217880249,0.006382768714427948,0.69964139046669,7.0,76.51,32.40873118591308
15,0.06437352233886719,0.0006978697967529297,0.03773619911193848,0.02289361526489258,0.4585908183574677,0.007411814284622669,0.4660026326751709,7.0,84.362,41.37810637512207,0.05459684066772461,0.0006683906555175781,0.6987236113071441,0.006471668996661901,0.705195280122757,7.0,76.79,32.05778924865723
16,0.06479996505737305,0.000677596435546875,0.037823350296020505,0.023257762145996095,0.4374778814935684,0.007274169893115759,0.4447520516777039,7.0,85.118,40.621827183837894,0.05466717872619629,0.0006376213073730468,0.6868692822933197,0.006343841610103845,0.6932131229400634,7.0,77.31,31.536018815612792
17,0.06395891624450684,0.0006595067596435547,0.037437357482910154,0.02278623504638672,0.41482793119430544,0.007282122155278921,0.42211005389213563,7.0,86.082,40.47862334838867,0.056092828369140625,0.0010948741912841797,0.6885417984008789,0.0062229706376791,0.6947647694587707,7.0,77.43,31.323346142578124
18,0.06452052841186523,0.00040279037475585936,0.03827036689758301,0.022811573181152345,0.39309189861297605,0.007321725710332394,0.40041362444400785,7.0,86.862,40.310880012817385,0.05465521392822266,0.0006577587127685547,0.683005143070221,0.006131045810133219,0.6891361869812012,7.0,77.61,31.17057308807373
