Epoch,Train/Batch Time,Train/Data Time,Train/Forward Pass Time,Train/Backward Pass Time,Train/Cross Entropy Loss,Train/Skip Loss,Train/Net Loss,Train/NFE,Train/Accuracy,Train/Residual,Test/Batch Time,Test/Data Time,Test/Cross Entropy Loss,Test/Skip Loss,Test/Net Loss,Test/NFE,Test/Accuracy,Test/Residual
1,0.24395579597473144,0.013020923385620118,0.11670797080993653,0.07438684738159179,1.5315256075668335,0.565943739414215,1.5315256075668335,10.0,42.914,264.9714777307129,0.1226796474456787,0.0013113262176513672,1.2249435150146484,0.5811593088150024,1.2249435150146484,10.0,55.81,67.19341370239258
2,0.11108046600341796,0.0003019342041015625,0.03613221900939941,0.02897465866088867,1.1071273381042481,0.5905531056785583,1.1071273381042481,10.0,60.238,113.37197254882813,0.046016181182861327,0.0016236045837402344,1.0197338985443116,0.5859483823776245,1.0197338985443116,10.0,64.04,36.06804292602539
3,0.0689161725616455,0.0010036031341552735,0.03568518051147461,0.02891701499938965,0.9416982188796997,0.607692881450653,0.9416982188796997,10.0,66.458,76.89216140563965,0.04521300621032715,0.0009411628723144531,0.9110609732627869,0.6112364733695984,0.9110609732627869,10.0,67.97,28.042313185119628
4,0.338392745513916,0.001026087875366211,0.17918339950561524,0.1544376081085205,0.8827007696914673,0.6260102878189087,0.8827007696914673,42.0,68.768,1398.303493125,0.3924406555175781,0.00031231040954589844,0.8761441268920899,0.6493662823677063,0.8761441268920899,42.0,69.31,1415.6572969726562
5,0.2901444396972656,0.00030321243286132813,0.14773592109680175,0.13873873146057128,0.7841481927490235,0.6483402229118347,0.7841481927490235,42.0,72.444,1417.3690866992188,0.22122555656433104,0.00033667678833007814,0.7908122584342957,0.6684573854446411,0.7908122584342957,42.0,72.45,1411.0331498046876
6,0.293247027053833,0.0010179523468017578,0.15090506950378418,0.1379502069091797,0.7136740752601624,0.6644918593597412,0.7136740752601624,42.0,75.068,1409.302163046875,0.22103507385253907,0.00031450119018554685,0.7379156570434571,0.677144149017334,0.7379156570434571,42.0,74.37,1400.5296405273436
7,0.2913335400390625,0.0003030260467529297,0.14749404533386232,0.1400932248687744,0.658381199798584,0.6747592490386963,0.658381199798584,42.0,77.218,1392.8000198046875,0.2146065258026123,0.0003601062774658203,0.6975437253952026,0.6785415950775147,0.6975437253952026,42.0,75.53,1383.9588698242187
8,0.2893453911590576,0.0003265019989013672,0.14635399620056153,0.13927518852233886,0.6096556848335266,0.6818557753562927,0.6096556848335266,42.0,78.982,1382.9666250976563,0.21619402923583986,0.0003276702880859375,0.6675026206970215,0.6935133096694946,0.6675026206970215,42.0,77.02,1383.871889453125
9,0.2854893748474121,0.0010118492889404297,0.1434336976623535,0.13774502410888673,0.5689149052429199,0.6954543539428711,0.5689149052429199,42.0,80.386,1388.1067876757813,0.20926612663269042,0.0003236209869384766,0.6398162467956543,0.7070589767456055,0.6398162467956543,42.0,77.92,1390.247451953125
10,0.2810405098724365,0.0010068355560302735,0.1406190559387207,0.136124743270874,0.5332632017326355,0.7084539072990418,0.5332632017326355,42.0,81.548,1399.3401096679688,0.2100526782989502,0.00031568145751953127,0.6238086983680725,0.7179788976669311,0.6238086983680725,42.0,78.85,1409.6994403320311
11,0.2800303985595703,0.0003108800506591797,0.1406813094329834,0.13578174842834473,0.5041780057144165,0.7285443654441833,0.5041780057144165,42.0,82.692,1431.0646807421874,0.21369822845458986,0.0003113590240478516,0.6225829256057739,0.738231318473816,0.6225829256057739,42.0,78.98,1441.7989618164063
12,0.2837443132019043,0.00030972824096679686,0.14327252700805665,0.13688065757751464,0.4744558407020569,0.744702192401886,0.4744558407020569,42.0,83.738,1460.0202874023437,0.2136533920288086,0.00035568084716796873,0.6101728727340698,0.7509779166221618,0.6101728727340698,42.0,79.04,1472.81669765625
13,0.2826013777160645,0.0003104412841796875,0.1426800830078125,0.13632406455993654,0.4429392945289612,0.7575146859931946,0.4429392945289612,42.0,84.798,1483.5802275195313,0.21130203323364258,0.00032954330444335937,0.5944042240142823,0.7592079507827759,0.5944042240142823,42.0,80.13,1485.4304251953124
14,0.2840596592712402,0.0003076417541503906,0.14371954193115236,0.1367362056732178,0.4214335658550262,0.7675286179161072,0.4214335658550262,42.0,85.582,1501.1452173828125,0.21193560180664062,0.0003304676055908203,0.5926073888778687,0.7770240097045898,0.5926073888778687,42.0,80.62,1518.0357112304687
