Epoch,Train/Batch Time,Train/Data Time,Train/Forward Pass Time,Train/Backward Pass Time,Train/Cross Entropy Loss,Train/Skip Loss,Train/Net Loss,Train/NFE,Train/Accuracy,Train/Residual,Test/Batch Time,Test/Data Time,Test/Cross Entropy Loss,Test/Skip Loss,Test/Net Loss,Test/NFE,Test/Accuracy,Test/Residual
1,0.26862135093688966,0.013958793029785156,0.12419212562561036,0.08869366806030274,1.6706341765594483,0.09555744488120078,1.7661916244125366,10.0,36.862,60.8570357049489,0.14487101249694825,0.001713220977783203,1.4585197122573852,0.04560721219778061,1.5041269235610961,10.0,46.77,0.31098952503204347
2,0.1230780396270752,0.0007333499145507812,0.033478451538085936,0.04006760787963867,1.33980113155365,0.041700044219493866,1.381501175365448,10.0,51.108,2.579999746470451,0.047813379287719726,0.00041492691040039063,1.2489415355682374,0.034988421273231506,1.2839299587249755,10.0,54.91,1.7502476293563842
3,0.07916148796081543,0.0008460277557373047,0.03353155548095703,0.040856464004516604,1.1443028592300415,0.03279609224081039,1.1770989514541625,10.0,59.116,4.207889193382263,0.052970721435546875,0.0010420379638671875,1.0658132083892822,0.02794684756398201,1.0937600511550902,10.0,62.07,2.6533597709655763
4,0.1280648388671875,0.0006342007446289063,0.08236798637390137,0.041149776306152346,1.0494301082611084,0.025738317037820816,1.0751684244918824,7.0,62.898,198.54792188476563,0.2872440952301025,0.0012028762817382812,1.008000471687317,0.020974487474560738,1.028974958229065,7.0,64.4,179.13929465332032
5,0.06398605194091797,0.0005477552032470704,0.041674261932373044,0.017923739852905272,0.9646966751670838,0.020196280958652495,0.984892954826355,7.0,65.81,167.52283262695312,0.055011033248901366,0.0007162895202636718,0.9601624515533447,0.017886694860458373,0.9780491436004639,7.0,66.02,155.46931794433593
6,0.06544139656066894,0.0007143360900878906,0.042703016128540036,0.018059668731689453,0.9027196059799194,0.017136032201349734,0.9198556385421753,7.00896,68.088,149.71309707763672,0.05561165657043457,0.0006851577758789063,0.9018679546356201,0.014993664854764938,0.9168616228103638,7.0,68.15,141.5221234008789
7,0.06488922233581543,0.0006474483489990235,0.04222721519470215,0.018065886993408203,0.8492424335479737,0.015089194462895394,0.8643316281700134,7.0,70.116,138.67632891601562,0.05415513496398926,0.00048590011596679687,0.8712072433471679,0.013280108669400215,0.8844873521804809,7.0,69.31,132.316106640625
8,0.06635165222167969,0.0009374380493164063,0.04308344848632813,0.018384265518188475,0.801892328491211,0.013403597359359264,0.8152959253501892,7.00384,71.732,129.3456753137207,0.05370493087768555,0.001345720672607422,0.83337405128479,0.011824518924951554,0.8451985717773437,7.0,70.52,123.94785118408203
9,0.06511513313293457,0.000711573715209961,0.0424645686340332,0.018016696014404296,0.7587497894096374,0.01227708692997694,0.7710268766021728,7.0,73.254,122.02435264892578,0.055162192153930666,0.0004799644470214844,0.7990214739799499,0.011176042369008064,0.8101975138664246,7.0,72.1,118.09688006591797
10,0.06464486747741699,0.00048000442504882813,0.041623556289672854,0.018680057830810545,0.7218153714561463,0.011878956985771657,0.7336943285655976,7.01408,74.682,117.61000854614258,0.05557305717468262,0.0004680885314941406,0.7784767754554749,0.011218719473481178,0.7896954954147339,7.0,72.54,114.75827167358399
11,0.06684564170837402,0.000782095947265625,0.042822645568847656,0.019359926528930663,0.6873178902816772,0.011768505062758923,0.699086395330429,7.03072,76.078,115.05763057373046,0.054448413467407225,0.0004698066711425781,0.7544393681526184,0.011362144939601422,0.7658015133857727,7.0,73.42,112.93371127929687
12,0.06809483139038086,0.0010511383056640625,0.04254651641845703,0.020572609252929686,0.6547818801784515,0.01190414910376072,0.6666860297298431,7.15744,77.364,113.49352440795899,0.05450263900756836,0.001059878158569336,0.7395124589920044,0.01129228415042162,0.7508047422409058,7.0784,74.21,111.0390373413086
13,0.07577468643188477,0.0006715057373046875,0.04793469955444336,0.023230562896728514,0.6249449162483215,0.012031737161874771,0.6369766523551941,9.83616,78.47,109.93344806152344,0.07263552665710449,0.0010151058197021485,0.7221715050697327,0.011621341171860694,0.7337928435325622,11.712,75.02,106.0588264038086
14,0.0929151035308838,0.0007051874542236328,0.06529323181152344,0.02313678695678711,0.5955218470573426,0.012171078101098538,0.607692924194336,16.21568,79.5,101.79154769287109,0.0980718921661377,0.0007064712524414063,0.7124264766693115,0.011488524357974528,0.7239150004386902,16.9056,75.23,98.254615625
15,0.11465060508728027,0.0008619420623779297,0.08550167945861817,0.02424588851928711,0.5667564959907532,0.012201779400110245,0.5789582746219635,19.95904,80.59,94.29915879150391,0.1269787124633789,0.0012309898376464843,0.7022638571739197,0.011701081459224225,0.7139649386405945,20.3936,75.93,91.04921840209961
16,0.1249215877532959,0.0006436202239990235,0.09532416076660157,0.024944619140625,0.5393962317371368,0.012173553605973721,0.5515697848081589,22.73792,81.578,87.15102756713867,0.13685187797546386,0.00047735633850097656,0.6982798510551452,0.011544901341199875,0.7098247519493103,22.736,75.92,84.60777450561524
17,0.13584053466796875,0.0006732682800292968,0.103599175491333,0.027499920806884764,0.5141719572734833,0.01195124157100916,0.5261231986665725,24.89152,82.494,80.53891229248048,0.15064522018432616,0.0007149482727050781,0.697367712020874,0.011467913174629212,0.7088356249809266,24.9184,75.94,78.27662061157227
18,0.14050372970581054,0.0007056271362304688,0.11103331909179688,0.024745581970214845,0.4893239765834808,0.01168015488833189,0.5010041310548783,26.72256,83.424,74.65104159301758,0.15800136070251464,0.0005872772216796875,0.6907228036880493,0.011167683330178261,0.7018904854774475,26.7744,76.52,72.93287147827148
19,0.1424456413269043,0.0005703064727783203,0.11222649772644043,0.025685740966796874,0.4650766593360901,0.011374154157936573,0.47645081367492675,28.18944,84.296,69.61422126708985,0.160877827835083,0.0006265419006347656,0.6902279867172241,0.010679931490123272,0.7009079190254212,28.3264,76.58,67.45717208862305
20,0.1404127360534668,0.0004158739471435547,0.11101979873657226,0.025098682479858397,0.44180455164432525,0.011034528734385967,0.4528390806722641,29.10912,85.082,65.65108022766113,0.1693858642578125,0.0009742687225341797,0.6954154728889466,0.010394858659803868,0.7058103307723999,29.1712,76.76,63.89106489257812
21,0.15527969436645508,0.0008696791839599609,0.1244430980682373,0.02587931465148926,0.41852697051048277,0.01070885442405939,0.42923582446575165,30.0896,85.936,61.64818356445313,0.17417552337646483,0.0006122661590576172,0.6984786039352417,0.010054227022826672,0.7085328294754029,30.1216,76.55,60.219774700927736
22,0.1545159447479248,0.0009618996429443359,0.1231513388824463,0.02638265686035156,0.3964931838321686,0.010518276070058346,0.4070114601755142,30.81152,86.86,58.95305621520996,0.176714262008667,0.0013319293975830079,0.7021811630249023,0.009859699662029743,0.7120408620834351,30.4672,76.99,58.04715466613769
23,0.1604306108856201,0.0005049246215820312,0.1277856219482422,0.02799899139404297,0.37501168177366256,0.010361771121621132,0.385373452501297,31.64352,87.578,56.16417107055664,0.16934716987609863,0.00043728065490722655,0.7065555986404419,0.009752043768763543,0.7163076426506042,31.5936,76.84,55.00754165344238
24,0.1604650318145752,0.0005187884521484375,0.12752328910827637,0.02836145477294922,0.35536320920944214,0.010245676043331623,0.3656088849878311,32.49152,88.374,53.82272208312988,0.1884526191711426,0.0005768207550048829,0.7150212583541871,0.009689361245930195,0.7247106189727783,32.3392,76.99,53.09036005554199
25,0.1653606330871582,0.0010637686920166017,0.13199447021484376,0.028255183410644532,0.33444300119876863,0.010225048918128013,0.34466804995298383,33.14944,89.088,52.031146518554685,0.18836625480651856,0.0005113311767578124,0.7264219665527344,0.009797384487092496,0.7362193523406982,32.864,76.75,51.61350675354004
26,0.16817849388122558,0.0010801480102539062,0.13404549407958985,0.029076507186889648,0.3156145579767227,0.010163723287284375,0.32577828096628186,33.71264,89.726,50.27766915649414,0.1936791603088379,0.0008117076873779297,0.7376286708831787,0.009783781112730504,0.747412456035614,33.5296,76.48,49.77183858337402
27,0.1664043398284912,0.0007904683685302735,0.1314470329284668,0.03019620704650879,0.2982472514343262,0.010095812657773495,0.3083430639052391,34.22528,90.456,48.754813049316404,0.1789071376800537,0.0007146839141845703,0.7499459809303284,0.009783472046256065,0.7597294526100159,33.9936,76.55,48.31545421142578
28,0.17378425735473632,0.0012533251190185548,0.13746468757629396,0.03099620651245117,0.280107695953846,0.010122668678760528,0.2902303643798828,34.75264,91.178,47.784052208862306,0.20193164978027345,0.0008072280883789063,0.7558512980461121,0.00984209468960762,0.7656933919906617,34.2752,76.72,47.43818830566406
29,0.17031885108947753,0.0005834146118164062,0.1344046531677246,0.03131164222717285,0.2627837149477005,0.010161511397957802,0.27294522651433945,35.18016,91.886,46.81148084106445,0.1835553421020508,0.0004383769989013672,0.7605812063217163,0.009803091587126255,0.7703842997550965,34.48,76.87,46.715518536376955
30,0.16997143371582032,0.0004460425567626953,0.13514485023498535,0.0304882421875,0.24590886763453484,0.010190831975340844,0.25609969931364057,35.66144,92.702,45.7626258404541,0.19718861503601073,0.00045909423828125,0.7622857267379761,0.009794465737044811,0.7720801942825317,34.9792,76.94,45.762616360473636
31,0.1751577660369873,0.0005541561889648438,0.1393851442718506,0.03130628128051758,0.23128460589170455,0.010212780612111092,0.24149738657712935,36.0992,93.226,44.90031770263672,0.18698916397094725,0.0004588935852050781,0.7662100406646728,0.00973991827815771,0.7759499591827392,35.4528,76.97,44.78653512878418
32,0.1674377074432373,0.0003961621856689453,0.1324198811340332,0.030869229049682617,0.2166231583571434,0.010210865765213966,0.2268340239596367,36.47616,93.778,44.349101700439455,0.19382591819763184,0.00038363723754882814,0.7726760684967041,0.00977379310876131,0.7824498594284057,35.9392,76.92,43.99550980834961
33,0.1796688833618164,0.0007874483489990234,0.14228966033935547,0.032617117004394534,0.20281078810453415,0.01021920344620943,0.21302999158024788,36.75776,94.384,44.0149013470459,0.19188164253234863,0.000716299819946289,0.7799960076332092,0.009850679279863835,0.7898466875076294,36.2848,76.65,43.82637476806641
34,0.17763750633239747,0.0005238088989257812,0.14049856437683106,0.03262733978271484,0.19030731687545777,0.010210655018091201,0.2005179714691639,37.15968,94.792,43.48400553833008,0.20652718200683592,0.0007184307098388672,0.7906146062850952,0.009900208358466625,0.8005148120403289,36.6848,76.71,43.403941983032226
35,0.18106308486938477,0.00045849754333496094,0.14305086860656738,0.03358306541442871,0.178762612811327,0.010215867885053158,0.18897848091483116,37.47968,95.274,42.99497835449219,0.21370903778076172,0.0006317543029785156,0.7976474584579468,0.009930784569680691,0.807578243637085,37.0816,76.69,42.839966735839845
36,0.18891519691467284,0.0007282492828369141,0.14947698455810546,0.034620919647216794,0.1680643391728401,0.010231925836205483,0.178296265103817,37.77152,95.764,42.58607270996094,0.21407372932434082,0.0006517475128173828,0.8060190009593964,0.009973631426692008,0.8159926310539246,37.4144,76.49,42.34681072998047
