Epoch,Train/Batch Time,Train/Data Time,Train/Forward Pass Time,Train/Backward Pass Time,Train/Cross Entropy Loss,Train/Skip Loss,Train/Net Loss,Train/NFE,Train/Accuracy,Train/Residual,Test/Batch Time,Test/Data Time,Test/Cross Entropy Loss,Test/Skip Loss,Test/Net Loss,Test/NFE,Test/Accuracy,Test/Residual
1,0.23021279357910157,0.01306836784362793,0.1114222233581543,0.0710081273651123,1.5690515515518189,0.6289967920875549,1.5690515515518189,10.0,42.164,330.90748607910155,0.1171021743774414,0.0007088218688964844,1.3307302034378052,0.6648174158096314,1.3307302034378052,10.0,52.45,115.25302316894532
2,0.10674014335632324,0.0006636241149902344,0.035610898666381834,0.028944047622680664,1.1725465536499022,0.6652596433448792,1.1725465536499022,10.0,58.048,95.95456142089844,0.04601612510681152,0.0004457939147949219,1.0583345584869386,0.6677066115379333,1.0583345584869386,10.0,61.92,60.52490582885742
3,0.06818534851074219,0.0006618560028076171,0.03547441696166992,0.02902784553527832,0.9914154748344421,0.6784069071388245,0.9914154748344421,10.0,64.772,130.94119177978516,0.045978104019165036,0.0004496864318847656,0.955308555984497,0.7016503811836242,0.955308555984497,10.0,66.27,118.42160407104492
4,0.332081294631958,0.00036635276794433596,0.1789879977416992,0.1493059780883789,0.9288088873863221,0.7279340286827087,0.9288088873863221,42.0,67.112,1409.3122273828126,0.37823538246154786,0.0003529777526855469,0.8916021646499633,0.749982357788086,0.8916021646499633,42.0,68.39,1423.0078205078125
5,0.2857070034790039,0.0009137568664550781,0.14641867950439452,0.13531794845581055,0.8115527872276306,0.7551155400657654,0.8115527872276306,42.0,71.472,1435.5750670898437,0.21282817001342774,0.0006049060821533203,0.7885984551429749,0.7766936758995057,0.7885984551429749,42.0,72.36,1448.9582827148438
6,0.2879962996673584,0.0003552120208740234,0.14868933807373047,0.13585371650695802,0.7324901912879944,0.7790463931655883,0.7324901912879944,42.0,74.536,1456.0129858984376,0.2201649570465088,0.00037058525085449217,0.738005369758606,0.7915238405227661,0.738005369758606,42.0,73.97,1462.5367087890625
7,0.28342739402770994,0.00035920799255371094,0.14516427139282226,0.13484140129089356,0.6674437383079529,0.7923831559944153,0.6674437383079529,42.0,76.974,1468.3954502539063,0.21338076133728026,0.00036036300659179687,0.6938266799926758,0.8047609347343445,0.6938266799926758,42.0,75.92,1474.9943044921874
8,0.2844954441833496,0.0006341298675537109,0.14492806716918946,0.1357804200744629,0.6152302221298218,0.8036170231056213,0.6152302221298218,42.0,78.806,1484.2896351757813,0.2109809299468994,0.0005869853973388671,0.6694185829162598,0.816353371810913,0.6694185829162598,42.0,76.96,1496.4947079101562
9,0.2848478232574463,0.0009158794403076172,0.14591048583984376,0.13493715774536133,0.5741364923286438,0.8197407891464233,0.5741364923286438,42.0,80.208,1508.6776109960938,0.2119122776031494,0.0003589885711669922,0.644932074546814,0.8320151515007019,0.644932074546814,42.0,78.0,1522.7246977539062
10,0.2840979055786133,0.0003516750335693359,0.14628424201965332,0.13440029510498047,0.5363766072940827,0.8338231078910827,0.5363766072940827,42.0,81.524,1531.9022828320312,0.21297295761108398,0.0006151214599609376,0.6293739288330078,0.8406133501052856,0.6293739288330078,42.0,78.43,1543.1764504882813
11,0.2862692176055908,0.000929481201171875,0.14647674217224121,0.135756629486084,0.5032546711063385,0.8460151807403564,0.5032546711063385,42.0,82.844,1554.2270545117187,0.21546876602172851,0.0006344833374023437,0.6123711963653564,0.8529094992637635,0.6123711963653564,42.0,78.89,1564.590008203125
12,0.29005373107910154,0.00036655426025390626,0.15063440322875976,0.1359627625274658,0.47371308115959165,0.8569940856933593,0.47371308115959165,42.0,83.778,1574.7690733984375,0.2128535213470459,0.0003361305236816406,0.6154572667121887,0.8634860156059265,0.6154572667121887,42.0,79.11,1586.1149876953125
13,0.2905067692565918,0.0003660936737060547,0.14997951332092285,0.1370555551147461,0.447048821144104,0.8675689158248902,0.447048821144104,42.0,84.618,1594.79812265625,0.21546564750671388,0.0006106986999511719,0.6067041730880738,0.872875927734375,0.6067041730880738,42.0,79.7,1604.9647006835937
14,0.2858671901702881,0.00035951011657714844,0.1463455881500244,0.13605458427429198,0.41534800594329835,0.8787101906013489,0.41534800594329835,42.0,85.776,1615.5907534765624,0.2167754104614258,0.0005978984832763672,0.6049304779052734,0.8869097718238831,0.6049304779052734,42.0,79.67,1628.7160365234374
15,0.28746678207397464,0.0003736388397216797,0.1480164171600342,0.13599023948669434,0.3896637036752701,0.8922439698982239,0.3896637036752701,42.0,86.514,1640.3315263671875,0.21235724639892578,0.0006044948577880859,0.6088170928001404,0.8994081385612488,0.6088170928001404,42.0,79.73,1651.007809765625
16,0.2875879300689697,0.0006338068389892578,0.14733839630126952,0.1365167303466797,0.36511575142860414,0.9040753161430359,0.36511575142860414,42.0,87.562,1662.4883995898438,0.21346080741882323,0.0006085250854492187,0.6059837470054626,0.9116508392333984,0.6059837470054626,42.0,79.77,1675.6118030273437
17,0.2851471196746826,0.0003567671966552734,0.14544560119628908,0.13621012924194337,0.342056465215683,0.9161898010444641,0.342056465215683,42.0,88.216,1685.0611687304688,0.21187475166320802,0.0003565284729003906,0.6141583196640015,0.9263220774650573,0.6141583196640015,42.0,80.14,1701.0925875976563
18,0.28650289138793944,0.0003506365203857422,0.14637552619934083,0.13655906959533692,0.31863421494483946,0.9303564338302612,0.31863421494483946,42.0,89.106,1709.6413532226563,0.20616694488525392,0.0003648693084716797,0.628568603515625,0.9365429438591003,0.628568603515625,42.0,79.54,1719.7568825195312
19,0.3734138838195801,0.0020019083404541017,0.2105970767211914,0.15633706802368164,0.2954944751739502,0.9408302959442139,0.2954944751739502,42.0,89.888,1729.1500766601562,0.3508657356262207,0.0016594806671142578,0.628451561832428,0.948404205417633,0.628451561832428,42.0,79.72,1742.5663047851563
20,0.44418449562072754,0.0036507745361328125,0.26755672348022463,0.16777369186401367,0.27634209598064424,0.9518814581489563,0.27634209598064424,42.0,90.734,1751.4849072851562,0.3440002708435059,0.0018461917877197265,0.6370466673851013,0.9566005681991577,0.6370466673851013,42.0,79.69,1760.7657733398437
21,0.44644975914001467,0.00369767578125,0.26906711906433106,0.16855850929260255,0.25448440380573273,0.9620708957862854,0.25448440380573273,42.0,91.568,1771.3735369140625,0.324560570526123,0.0014960311889648437,0.613558935546875,0.967322354221344,0.613558935546875,42.0,80.68,1781.0406537109375
22,0.408893032913208,0.0034420225524902344,0.23811307304382323,0.16224903266906737,0.23404722343206405,0.972383270225525,0.23404722343206405,42.0,92.38,1790.0031086132813,0.3212983341217041,0.0006103645324707031,0.6208428052902222,0.9749358595848083,0.6208428052902222,42.0,80.65,1797.5620077148437
23,0.4052763893890381,0.0028156390380859376,0.23647751022338867,0.16122906929016112,0.21628881213188172,0.9808080561256408,0.21628881213188172,42.0,92.968,1807.3162777148439,0.3089938018798828,0.0007177032470703125,0.637424520111084,0.9864656747817994,0.637424520111084,42.0,80.24,1816.0826547851561
24,0.39002064430236816,0.0025662196350097655,0.22614287536621094,0.1567364228820801,0.19521173597335814,0.990145011177063,0.19521173597335814,42.0,93.72,1824.216711953125,0.3112501781463623,0.0006441558837890625,0.6254752000808715,0.9935292175292969,0.6254752000808715,42.0,80.95,1829.3065610351562
25,0.38399056259155273,0.0025170317840576173,0.2211952123260498,0.15569074584960937,0.18162894316792488,0.9983726926040649,0.18162894316792488,42.0,94.246,1839.828729765625,0.29529444427490237,0.0009336555480957031,0.644874807548523,1.0020767625808715,0.644874807548523,42.0,80.82,1847.3671155273437
26,0.3891809011077881,0.002478527145385742,0.2287956741333008,0.1534991030883789,0.16728748849391936,1.0075098295974731,0.16728748849391936,42.0,94.756,1857.4624676757812,0.3131702648162842,0.0010122512817382812,0.6490206223487854,1.0120216966629028,0.6490206223487854,42.0,80.98,1865.3726454101563
27,0.38746038146972656,0.0022025896453857423,0.22811289039611815,0.15262997749328613,0.14895142878770828,1.015691266899109,0.14895142878770828,42.0,95.582,1873.44617546875,0.31210522994995116,0.000546651840209961,0.6619060035705566,1.0195731506347656,0.6619060035705566,42.0,80.42,1879.5148826171876
28,0.383910659866333,0.0019237061309814454,0.22196321556091309,0.15548162864685058,0.13589842146039008,1.0230436834335328,0.13589842146039008,42.0,96.108,1887.6536098046874,0.2901390354156494,0.0008037033081054688,0.6777041002273559,1.0274018369674682,0.6777041002273559,42.0,80.53,1895.0591735351563
