Epoch,Train/Batch Time,Train/Data Time,Train/Forward Pass Time,Train/Backward Pass Time,Train/Cross Entropy Loss,Train/Skip Loss,Train/Net Loss,Train/NFE,Train/Accuracy,Train/Residual,Test/Batch Time,Test/Data Time,Test/Cross Entropy Loss,Test/Skip Loss,Test/Net Loss,Test/NFE,Test/Accuracy,Test/Residual
1,0.22720915031433106,0.012650525741577148,0.110397738571167,0.07079114074707031,1.5928530551147462,0.4383430744075775,1.5928530551147462,10.0,40.974,412.53695611572266,0.1158156047821045,0.0009684741973876954,1.34035477142334,0.42436754546165467,1.34035477142334,10.0,52.26,270.11007470703123
2,0.1048279393005371,0.0003981832122802734,0.035269011001586914,0.028497165603637697,1.184766075668335,0.45287018407821655,1.184766075668335,10.0,57.656,288.9775528808594,0.046445920181274414,0.0010782600402832031,1.075076445388794,0.4837923992156982,1.075076445388794,10.0,61.59,232.95422592773437
3,0.06801906799316407,0.0011707787322998047,0.03519047538757324,0.028691288299560545,0.9814377130126953,0.48765743350982665,0.9814377130126953,10.0,65.164,265.2055635791016,0.04647356758117676,0.0010917560577392578,0.9284202018737793,0.5117543186187744,0.9284202018737793,10.0,66.84,214.20870681152343
4,0.326844920501709,0.0006512420654296875,0.17611320014953613,0.1466871536254883,0.9168293710327149,0.569872184085846,0.9168293710327149,42.0,67.352,1439.3214965039062,0.3745079719543457,0.000586920166015625,0.882846350479126,0.6155668182373046,0.882846350479126,42.0,68.6,1492.6481853515625
5,0.2819826279449463,0.0003480181121826172,0.14484498474121094,0.13370235458374025,0.8122446094894409,0.6470302807235718,0.8122446094894409,42.0,71.418,1534.0587408007812,0.2073767719268799,0.0006208221435546875,0.8399907956123353,0.6970369112968445,0.8399907956123353,42.0,70.42,1578.1856193359374
6,0.2813935171508789,0.0006500179290771485,0.14322337081909178,0.13444111152648927,0.7444362978363037,0.7072670852088928,0.7444362978363037,42.0,74.072,1628.8056252539063,0.20778784942626954,0.0006082347869873047,0.7739211334228515,0.7453197895050049,0.7739211334228515,42.0,73.0,1666.9773583984374
7,0.2840490633392334,0.000366578369140625,0.14512924926757811,0.135284794921875,0.6805222228431702,0.7666718828392028,0.6805222228431702,42.0,76.374,1712.8510210351562,0.20725427932739257,0.000618109130859375,0.7516835744857788,0.8129245625495911,0.7516835744857788,42.0,73.7,1747.8961451171874
8,0.28205362007141116,0.000360814208984375,0.14365470626831053,0.13490691757202147,0.6296847613143921,0.8238627020454407,0.6296847613143921,42.0,78.282,1784.9853374023437,0.20668921852111816,0.0006093975067138672,0.7334557299613953,0.8557510999679565,0.7334557299613953,42.0,74.61,1809.9070905273438
9,0.2825236081695557,0.0006314466857910156,0.14503253898620605,0.13378384887695313,0.5839998665332794,0.8590064906692505,0.5839998665332794,42.0,79.806,1837.5042971875,0.21403693580627442,0.0006254280090332031,0.6967772345542907,0.8829955778121948,0.6967772345542907,42.0,75.85,1862.4333288085938
10,0.2868695672607422,0.0006348812866210937,0.14808974540710448,0.13495869522094728,0.5486339092636109,0.8967311901664734,0.5486339092636109,42.0,81.312,1894.6073176171874,0.2134846279144287,0.00035974273681640625,0.6403743099212647,0.9218249493598938,0.6403743099212647,42.0,77.93,1922.3671140625
