Epoch,Train/Batch Time,Train/Data Time,Train/Forward Pass Time,Train/Backward Pass Time,Train/Cross Entropy Loss,Train/Skip Loss,Train/Net Loss,Train/NFE,Train/Accuracy,Train/Residual,Test/Batch Time,Test/Data Time,Test/Cross Entropy Loss,Test/Skip Loss,Test/Net Loss,Test/NFE,Test/Accuracy,Test/Residual
1,0.23934069152832033,0.01356025276184082,0.10993793922424316,0.07955890594482422,1.6212095739746093,0.08888800792217255,1.7100975828170777,10.0,40.014,185.92844203857422,0.12816332206726075,0.0009980506896972656,1.4082819732666016,0.04247917460799217,1.4507611484527587,10.0,48.49,207.80587569580078
2,0.11077313934326172,0.0003691655731201172,0.031908944244384764,0.036124237899780275,1.3064703782653808,0.040712000683546065,1.3471823785018922,10.0,52.52,288.16353663574216,0.04722755279541015,0.0006003986358642578,1.2336744800567627,0.034756502372026446,1.268430982208252,10.0,55.38,142.94261889038086
3,0.07284394828796387,0.0013941001892089843,0.03186019012451172,0.03618991424560547,1.1480747209167481,0.03738188948512077,1.1854566104125976,10.0,58.996,119.56363313690186,0.04763829765319824,0.0008695072174072266,1.1135716304779053,0.042668588757514954,1.1562402238845826,10.0,59.78,163.32101018066408
4,0.22953505233764648,0.001147079086303711,0.18399842208862305,0.040914807510375975,1.0844128201293946,0.036720446776151654,1.1211332646942138,42.0,61.556,400.7640737353516,0.4161523609161377,0.00032478752136230467,1.0396698764801025,0.027541242572665214,1.0672111223220826,42.0,62.76,371.6503126220703
5,0.17765090461730956,0.0006217760467529296,0.15239670333862304,0.021179622802734374,0.9957797957420349,0.02451566374182701,1.0202954603004455,42.0,64.58,359.509924375,0.21863200492858886,0.0008605308532714844,0.9677853092193603,0.023077568167448045,0.9908628783226013,42.0,65.26,337.28158408203126
6,0.17918660507202147,0.0006198735809326172,0.1489932901763916,0.02614295455932617,0.9319064618301391,0.021909020859003068,0.9538154837036132,42.0,66.91,325.6707752392578,0.21657313385009766,0.0005796276092529297,0.9256066119194031,0.020894143411517144,0.9465007556915284,42.0,66.93,311.8456095458984
7,0.18119815689086913,0.0006290877532958984,0.1488862429046631,0.028265079193115234,0.8823011465263366,0.021227116897702215,0.9035282637023926,42.0,68.832,309.4304965087891,0.21719152450561524,0.0005990730285644531,0.8861669359207154,0.02027803358733654,0.9064449703216553,42.0,68.55,312.2113373291016
8,0.18266191452026367,0.0006166749572753906,0.1462485799407959,0.03235628791809082,0.8339839448928833,0.02053506251811981,0.8545190079307556,42.0,70.608,306.5157330859375,0.2194280586242676,0.00031346702575683595,0.8516603755950928,0.018475771647691725,0.8701361448287964,42.0,69.63,299.8375291748047
9,0.19236081756591797,0.0003527846527099609,0.15319479820251464,0.035303009643554685,0.7916940797996521,0.02046903241634369,0.8121631122970581,42.0,72.202,302.7439941992188,0.22162776794433595,0.00036221427917480466,0.8396516158103943,0.019418729135394098,0.8590703456878662,42.0,70.08,307.1316674316406
10,0.1911639687347412,0.00033625747680664063,0.1532982257080078,0.03407009773254394,0.754741646976471,0.02199718401134014,0.7767388306617736,41.99232,73.548,303.1795775878906,0.2178180778503418,0.0003426597595214844,0.8143249095916748,0.022048701423406602,0.8363736125946045,42.0,71.08,303.1005025878906
11,0.18250952102661133,0.0006004195404052734,0.14522161514282225,0.03325716911315918,0.7212202112674713,0.0201854765355587,0.7414056870365143,42.0,74.644,292.9016672949219,0.2161615020751953,0.00034853630065917967,0.7820257972717285,0.020304544523358344,0.8023303398132324,42.0,72.63,290.65181728515626
12,0.18320734909057618,0.000604937744140625,0.15047156745910645,0.02866930435180664,0.6959524996757507,0.02123395490705967,0.71718645529747,41.99744,75.47,291.92489123535154,0.21852646484375,0.0003528514862060547,0.7629697046279907,0.022038917303085326,0.7850086223602295,42.0,73.03,288.41111655273437
13,0.18265629692077637,0.0006110697937011718,0.1465690071105957,0.03200998802185059,0.6684752767276764,0.02012650025188923,0.6886017765426635,42.0,76.508,282.0019526220703,0.21533657989501953,0.0005733650207519532,0.7396869785308838,0.020188470074534417,0.7598754467964173,42.0,73.66,282.7899004638672
14,0.18148367355346678,0.0008832360076904297,0.14774806999206544,0.029406425476074218,0.6401130282402039,0.02024677993953228,0.6603598089790345,42.0,77.552,278.7751153564453,0.21737465629577638,0.00033880271911621094,0.7368036375045777,0.022351856246590616,0.7591554938316345,42.0,73.94,296.588111328125
15,0.18179594055175782,0.0008720186614990234,0.14967860763549803,0.02779586380004883,0.6165006978797912,0.022294284596443177,0.6387949815940857,42.0,78.44,291.2681487988281,0.21751140899658203,0.0006011425018310547,0.7226019645690918,0.021970555528998376,0.7445725186347961,42.0,74.41,292.4773489013672
16,0.18260279304504395,0.0006147581481933594,0.14883746208190918,0.029691143264770507,0.5902067300128937,0.023646978605985643,0.6138537081336976,42.0,79.394,298.33798435058594,0.21692620468139648,0.0003548183441162109,0.7146940567016602,0.021992359098792075,0.7366864128112793,42.0,75.12,297.3512775146484
17,0.18262744232177736,0.00033850608825683595,0.15187416007995605,0.02696430892944336,0.5652526858663559,0.02330511604309082,0.5885578024673462,42.0,80.346,299.7990529980469,0.21666862144470214,0.0003518749237060547,0.7228152406692505,0.024354186898469923,0.7471694273948669,42.0,74.87,309.20707385253905
18,0.1834442710876465,0.0008918293762207032,0.15099715141296385,0.028108762969970703,0.541957459936142,0.024419284735918045,0.5663767441987991,41.99872,81.116,306.7915024072266,0.21811168785095214,0.0003471401214599609,0.7180264249801636,0.02340222154855728,0.7414286472320557,42.0,75.1,305.3321689208984
